,Publisher,Title,URL,Date,2022-12-07,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,Afghanistan,Bangui,Bashar al-Assad,Britain,China,Dmitry Peskov,Dmitry Utkin,Donbas,Emmanuel Macron,France,Germany,Hungary,Iran,Joe Biden,Kadiivka,Kharkiv,Kyiv,Libya,Luhansk,Mali,Moscow,Nigeria,Odesa,Poland,Prigozhin,Russia,Russian Federation,Saint Petersburg,Saudi Arabia,Serhiy Gaidai,St Petersburg,St. Petersburg,Sudan,Syria,U.S.,UK,US,Ukraine,Ukrainian,United States,Vladimir Putin,Volodymyr Zelensky,Washington,Yevgeny Nuzhin,Yevgeny Prigozhin,colonies
12,Reuters,Lawsuit against Russia's Wagner group seeks Ukraine reparations: lawyer - Reuters,https://www.reuters.com/world/europe/lawsuit-against-russias-wagner-group-seeks-ukraine-reparations-lawyer-2022-12-07/,"Wed, 07 Dec 2022 17:24:00 GMT",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
13,Business Insider,Russian Paramilitary Group Asks for Intel on NATO States: Guardian - Business Insider,https://www.businessinsider.com/russia-paramiitary-group-asks-for-intel-on-nato-states-guardian-2022-12,"Mon, 12 Dec 2022 10:08:00 GMT",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14,CNN,Russia's notorious Wagner group admits to recruiting Zambian inmate who died fighting in Ukraine - CNN,https://www.cnn.com/videos/world/2022/12/02/russia-wagner-group-zambia-recruit-killed-pleitgen-dnt-ebof-vpx.cnn,"Fri, 02 Dec 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Al Jazeera English,"Inside the Wagner Group, Russia’s mercenary force | Russia-Ukraine war News - Al Jazeera English",https://www.aljazeera.com/podcasts/2022/11/18/inside-the-wagner-group-russias-mercenary-force,"Fri, 18 Nov 2022 08:00:00 GMT",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
16,TRT World,Live blog: Ukraine strike hits Wagner group headquarters - official - TRT World,https://www.trtworld.com/europe/live-blog-biden-underscores-support-for-ukraine-in-call-with-zelenskyy-63443,"Mon, 12 Dec 2022 10:15:51 GMT",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
17,The Guardian,Family ‘horrified’ by video of sledgehammer killing of Wagner Group defector - The Guardian,https://www.theguardian.com/world/2022/nov/14/family-expresses-horror-at-video-of-killing-of-russian-wagner-group-defector,"Mon, 14 Nov 2022 08:00:00 GMT",0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
18,The Daily Beast,Wagner Group Accused of Recruiting Prisoners From the Central African Republic for Russia's War in Ukraine - The Daily Beast,https://www.thedailybeast.com/wagner-group-accused-of-recruiting-prisoners-from-the-central-african-republic-for-russias-war-in-ukraine,"Tue, 29 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19,Al Jazeera English,US adds Wagner mercenaries to blacklist for religious persecution - Al Jazeera English,https://www.aljazeera.com/news/2022/12/3/us-adds-cuba-nicaragua-wagner-group-to-blacklist,"Sat, 03 Dec 2022 08:00:00 GMT",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
20,FRANCE 24 English,Zelensky proposes ‘global peace summit’ for Ukraine to G7 nations - FRANCE 24 English,https://www.france24.com/en/europe/20221212-live-eu-leaders-to-meet-to-agree-on-more-russia-sanctions,"Mon, 12 Dec 2022 06:42:34 GMT",0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
21,Yahoo News,"Wagner Group mercenaries creating illusion of effectiveness, but suffering huge numbers of dead - Yahoo News",https://news.yahoo.com/wagner-group-mercenaries-creating-illusion-162800841.html,"Fri, 25 Nov 2022 08:00:00 GMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
